Year,SeriesCode,GeoAreaName,Age,Sex,Value
2018,IC_GEN_MGTL_19ICLS,Japan,,FEMALE,14.38
2019,IC_GEN_MGTL_19ICLS,Japan,,FEMALE,14.72
2020,IC_GEN_MGTL_19ICLS,Japan,,FEMALE,13.06
2021,IC_GEN_MGTL_19ICLS,Japan,,FEMALE,13.18
2022,IC_GEN_MGTL_19ICLS,Japan,,FEMALE,12.9
2000,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,5.01
2001,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,5.95
2002,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,5.61
2003,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,5.96
2004,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,7.09
2005,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,7.9
2006,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,8.65
2007,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,8.86
2008,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,9.5
2009,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,8.62
2010,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,9.4
2011,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,10.1
2012,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,11.09
2013,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,11.37
2014,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,11.13
2015,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,10.45
2016,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,9.77
2017,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,12.33
2018,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,14.46
2019,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,15.41
2020,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,15.65
2021,IC_GEN_MGTL_19ICLS,Republic of Korea,,FEMALE,16.27
